iter	Passed	Remaining
978	23662	507
979	23685	483
980	23706	459
981	23729	434
982	23753	410
983	23777	386
984	23800	362
985	23824	338
986	23846	314
987	23871	289
988	23894	265
989	23917	241
990	23939	217
991	23967	193
992	23989	169
993	24015	144
994	24040	120
995	24063	96
996	24085	72
997	24110	48
998	24136	24
999	24162	0
